workdays,days_per_week,hours_per_week,is_remote,is_flexible
شنبه تا چهارشنبه 8 الی 16,5,48,0,0
شنبه تا چهارشنبه 8 تا  17:33، پنجشنبه 8:30 تا 12:30,6,65.3,0,0
شنبه تا چهارشنبه 7 الی 16,5,54,0,0
10 تا 20,,,0,0
شیفت شب  ( 3 روز در هفته ),,,0,0
7:30 تا 17 شنبه تا چهارشنبه و پنجشنبهها از ساعت 7:00 تا 14:00,6,71,0,0
شنبه تا چهارشنبه 7:30 الی 16:30,5,54,0,0
شنبه تا چهارشنبه,,,0,0
شنبه الی چهارشنبه از 8:30 تا 17:30 با نیم ساعت شناوری,5,54,0,0
دورکار و منعطف,,,0,1
شنبه تا پنجشنبه - 8 الی 16,,,0,0
روزهای کاری:شنبه تا چهارشنبه-ساعات کاری:8:30الی17:00,,,0,0
8 الی 16:30 شنبه تا چهارشنبه -8 الی 12پنج شنبه ها,5,55,0,0
شنبه تا چهارشنبه ساعت 11 تا18,5,42,0,0
شنبه تا پنج شنبه 17:30 - 7,,,0,0
شنبه تا چهارشنبه 7:00 الی 16:00,5,54,0,0
شناور,,,0,0
شنبه تا چهارشنبه 9 تا 17,5,48,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه  7:30 - 16:30,,,0,0
9 الی 17,,,0,0
منعطف 44 ساعت در هفته,,,0,1
شنبه تا چهارشنبه,,,0,0
9 الی 17,,,0,0
شنبه تا چهارشنبه 8:30 تا 17، پنجشنبه 8 تا 12,6,59,0,0
شنبه تا چهارشنبه از 8 الی 17,5,54,0,0
روزهای شنبه الی چهارشنبه از ساعت 8 الی 16:30 -پنجشنبه از ساعت 8 الی 12,6,59,0,0
شنبه تا چهارشنبه 8:30 الی 17:30 - پنجشنبه ها 8:30 الی 13,6,63,0,0
شنبه تا چهارشنبه 07:30 الی 16:30,5,54,0,0
شنبه تا چهارشنبه از ساعت 8 الی 17,5,54,0,0
شیفتی,,,0,0
شنبه تا چهارشنبه 18 تا23  و پنجشنبه 16:30 تا 23 جمعه و ایام تعطیل 8صبح تا 23,7,49.5,0,0
ندارد,,,0,0
از شنبه تا چهارشنبه 9 تا 18 و پنج شنبه ها از 9 تا 14,5,59,0,0
شنبه تا پنجشنبه 9 الی 18,6,63,0,0
به صورت 24 ساعت شیفت,,,0,0
8 صبح الی 17,,,0,0
شنبه تا چهارشنبه:8:00 تا 16:30 پنجشنبه:8:00 تا 13:00,6,59.5,0,0
شنبه تا پنج شنبه 8 الی 17,1,9,0,0
شنبه تا چهارشنبه ساعت 7:30 الی 16:30,5,54,0,0
ندارد,,,0,0
9:30 تا 17:30,,,0,0
شنبه تا چهارشنبه ساعت 7:30 الی 16:30,5,54,0,0
شنبه تا چهارشنبه ساعت 7:30 الی 14:30,5,42,0,0
شنبه تا چهار شنبه 9:30تا 18 عصر,1,8.5,0,0
8 الی 17,,,0,0
شنبه تا پنج شنبه روزانه 8 ساعت شیفتی,,,0,0
شنبه تا چهارشنبه ساعت 9:00 تا 18:00 و پنجشنبه ها تعطیل,5,54,0,0
شنبه تا پنج شنبه,,,0,0
شنبه الی چهارشنبه (صبح: 9 الی 13) (عصر: 16 الی 20),5,24,0,0
شنبه تا چهارشنبه ساعت 9 لغایت 17:30,,,0,0
شنبه تا چهارشنبه 9 تا 17,5,48,0,0
شنبه تا چهارشنبه 7:30 الی 16:50,5,56,0,0
شنبه تا چهارشنبه 9-17 / پنج شنبه 9-13,,,0,0
شنبه تا چهارشنبه تا ساعت 17/30 و پنجشنبه تا 14,,,0,0
شنبه تا پنجشنبه ساعت 8 تا 5,6,-21,0,0
منعطف,,,0,1
شنبه الی سه شنبه  ساعت 8 الی 17 -چهارشنبه 8 الی 16,5,61,0,0
شنبه الی چهارشنبه 8:30الی 17 و پنجشنبه ها 8:30 الی 13,6,60,0,0
شنبه تا چهارشنبه 9تا17و پنجشنبه 9تا13,6,56,0,0
تمام وقت,,,0,0
شنبه تا چهارشنبه ( تمام وقت ) پنج شنبه ( نیمه وقت ),,,0,0
شنبه تا چهارشنبه از 8 صبح تا 16:30 پنجشنبه ها تا 13:00,,,0,0
12ساعته در دو شیفت چرخشی(7 الی 19)(19 الی7),,,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه  7:45 الی 16:30 و پنج شنبه 7:45 الی 13:30,5,58.25,0,0
شنبه تا چهارشنبه 8 تا 17، پنجشنبه 8 تا 12,6,62,0,0
شش روز در هفته,,,0,0
شنبه تا چهارشنبه 8 الی 17 و پنجشنبه 8 الی 12,6,62,0,0
شنبه تا پنجشنبه از ساعت 8.30 صبح تا 14.30 ظهر,,,0,0
شنبه تا چهارشنبه 8:30 صبح الی 16:30 و پنجشنبه ها 8:30صبح الی 12:30,,,0,0
شنبه تا  پنج شنبه -پنج شنبه ها تا ظهر,,,0,0
شنبه تا چهارشنبه ساعت 9 الی 18 و پنجشنبه ها 9 الی 13,6,62,0,0
شنبه تا چهارشنبه 8.30 الی 17:30,5,-75,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه از ساعت 7 الی 16 با یک ساعت شناوری,5,54,0,0
منعطف,,,0,1
شنبه تا چهارشنبه,,,0,0
saturday to wednesday From 8:30 am to 5 pm,,,0,0
منعطف,,,0,1
شنبه ا تا پنج شنبه ، 8 الی 15,,,0,0
44 ساعت در هفته,,,0,0
شنبه تا چهارشنبه 8 الی 18,5,60,0,0
شنبه تا پنج شنبه 8:30 به بعد,,,0,0
5 روز در هفته,,,0,0
شنبه تا چهارشنبه ساعت 7 تا 17 و پنجشنبه ساعت 7 تا14,6,74,0,0
شنبه الی پنج شنبه,,,0,0
شنبه تا چهارشنبه 7:15 الی 16:30,5,55.5,0,0
شنبه تا چهارشنبه 8 تا 17 پنج شنبه نیمه وقت,5,54,0,0
شنبه تا چهارشنبه 16:30 - 7:30 با 1 ساعت شناوری صبح,,,0,0
هر روز  و ساعت کاری منعطف,,,0,1
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه شنبه  8:30 الی 18:00,5,57,0,0
از شنبه تا پنج شنبه 8الی 16,1,8,0,0
شنبه تا چهارشنبه ساعت 9 تا 17 و پنجشبنه ساعت 9 تا 14,5,48,0,0
شنبه تا پنج شنبه,,,0,0
شنبه تا چهارشنبه 07:30 الی 16:30,5,54,0,0
شنبه الی چهارشنبه (صبح: 9 الی 13) (عصر: 16 الی 20),5,24,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 8تا 17/30,5,54,0,0
شنبه تا پنج شنبه,,,0,0
شنبه تا چهارشنبه 9 صبح تا 18 و پنجشنبه ها 9 تا 15,2,12,0,0
- روزهای کاری از شنبه تا چهارشنبه 8:30 الی 17 - پنج شنبه ها تعطیل,5,51,0,0
شنبه تا چهارشنبه 7:30تا 16:30- پنج شنبه 8 تا 12,5,58,0,0
همه روزه ساعت 8:30 الی 17:00 (پنج شنبه ها قابل مذاکره),1,8.5,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 9 تا 17  -پنج شنبه 9 تا 13,5,52,0,0
5 روز در هفته,,,0,0
ساعت کاری 9 الی 21 / یک روز در هفته تعطیل,,,0,0
شنبه تا چهارشنبه 8 تا 16:45,5,52.5,0,0
شنبه تا چهارشنبه 9 الی 18,5,54,0,0
شنبه تا چهارشنبه 8 - 16 / پنج شنبه 8 - 12,,,0,0
تمام وقت,,,0,0
شنبه تا پنج شنبه از 8 الی 17,1,9,0,0
شنبه تا چهارشنبه ساعت7:00الی 15:45و پنجشنبه ها ساعت 7:00الی 13:00,6,61.25,0,0
شنبه تا چهارشنبه از ساعت 8 الی 17,5,54,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه ساعت 8:30 تا 17 و پنج شنبه ها تا ساعت 13,5,51,0,0
شنبه تا چهارشنبه 9 تا 17 و پنج شنبه تا 12,5,48,0,0
شنبه تا چهارشنبه ساعت 8 تا 17 - پنجشنبه ها ساعت 8 تا 14,6,66,0,0
شنبه تا چهارشنبه از 8تا 17,5,54,0,0
شنبه تا چهارشنبه ساعت 9 تا 17:30 پنجشنبه ساعت 9 تا 13:30,6,59.5,0,0
شنبه تا پنج شنبه,,,0,0
شنبه تا چهارشنبه از ساعت 7:30 تا 16:30,5,54,0,0
از شنبه الی چهارشنبه ساعت 8صبح الی 16 (پنجشنبه تعطیل),,,0,0
شنبه تا چهارشنبه ساعت 9 الی 17 و پنج شنبه ها از ساعت 9 الی 14,5,53,0,0
شنبه تا چهارشنبه از ساعت 8 لغایت 17:18,,,0,0
شنبه تا چهارشنبه 8.30 الی 17 پنج شنبه 8.30 الی 13,5,-78,0,0
شنبه تا چهارشنبه 9 الی17 - پنج شنبه ها 9 الی 14,5,53,0,0
شنبه تاپنج شنبه 8 الی 16,1,8,0,0
تمام وقت,,,0,0
شنبه تا چهارشنبه از ساعت 7.30 الی 16.30,5,-84,0,0
شنبه تا پنجشنبه 7.5 تا 17,6,84,0,0
روزهای شنبه تا چهارشنبه 7:30 الی 16:30 با 1 ساعت شناوری صبح,5,54,0,0
شنبه تا پنجشنبه 8 الی 17:00,6,63,0,0
دلخواه,,,0,0
تمام وقت,,,0,0
شنبه تا چهارشنبه 9تا 17، پنجشنبه تا 12,5,48,0,0
شنبه تا پنج شنبه,,,0,0
شنبه تا پنجشنبه 7:45 الی 16:45,6,63,0,0
شنبه تا چهارشنبه 17تا8 و پنج شنبه 12تا 8,5,-58,0,0
بین 48 تا 72 ساعت در هفته,,,0,0
شنبه تا پنجشنبه 8 تا 16,6,56,0,0
9تا17,,,0,0
شنبه تا چهارشنبه 8:30 تا 17:30، پنجشنبه 8:30 تا 13:30,6,64,0,0
شنبه تا چهارشنبه 9 الی 17:30 پنج شنبه 9 الی 13:30,5,51,0,0
هماهنگ میشود,,,0,0
شنبه تا چهارشنبه,,,0,0
6 روز کار در هفته,,,0,0
شنبه تا چهارشنبه (17:30 - 8),,,0,0
شنبه تا چهارشنبه ساعت 7 تا 17 پنجشنبه از ساعت 7 تا 14,6,70,0,0
شنبه تا چهارشنبه ساعت 7:30 تا 17,5,57,0,0
9 تا 17,,,0,0
شنبه الی چهارشنبه 8 الی 16 یا 9 الی 17 (ساعت شناور),5,48,0,0
شنبه تا چهارشنبه 8 تا 17,5,54,0,0
44 ساعت در هفته,,,0,0
شنبه تا چهارشنبه 8 ساعت کاری  _ پنجشنبه  4 ساعت کاری,,,0,0
شنبه تا چهارشنبه 7:30 تا 16,5,51,0,0
شنبه تا چهارشنبه 8 الی16  پنج شنبه 8 الی 13,5,48,0,0
7 الی19,,,0,0
شنبه تا چهارشنبه 10 الی 14  / 16 الی 20,5,24,0,0
شنبه تا چهارشنبه 8:15 تا 17,5,52.5,0,0
"از شنبه تا چهار شنبه از 8:00 صبح تا 17:00 , پنجشنبه ها یک هفته در میان 8:00 تا 13:00",2,10,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهار شنبه 9:30-17:30 - پنج شنبه ها 9:30-14,,,0,0
دلخواه,,,0,0
شنبه ساعت  8:30 الی 14:30,1,6,0,0
شنبه تا پنج شنبه- شیفت چرخشی,,,0,0
شنبه تا چهارشنبه - دو شیفت 8 ساعتی صبح و ظهر,,,0,0
شنبه تا چهارشنبه 8-17,,,0,0
شنبه تا چهارشنبه : 08:00  الی 16:30  و پنج شنبه ها :08:00  الی 12:00,5,55,0,0
Sunday to Thursday 07:30 - 16:15,,,0,0
شنبه تا چهارشنبه  8:30-16پنجشنبه تا 13,,,0,0
10 تا 22 و 16 تا 23,,,0,0
6 روز در هفته - روزی 8 ساعت,,,0,0
توافقی,,,0,0
از شنبه تا چهارشنبه 8:00-16 پنجشنبه ها 8:30-13,,,0,0
شنبه تا چهارشنبه ساعت 9 تا 17 پنجشنبه ساعت 9 تا 14,6,56,0,0
یکشنبه تا  پنجشنبه  10:00 الی 19:00  جمعه و شنبه تعطیل,7,72,0,0
شنبه تا چهار شنبه ساعت 9:30 الی 17:30,1,8,0,0
08:30 الی 17:30 پنج شنبه ها الی 13:30,1,9,0,0
همه روزه8الی18,,,0,0
8:00 الی 17:00 شنبه الی چهارشنبه,5,54,0,0
شنبه تا چهارشنبه 7:30 الی 16:20 یا 8:30 الی 17:20 (شناور),5,53,0,0
تمام وقت,,,0,0
شنبه الی چهارشنبه 8:00 -16:30 پنجشنبه تعطیل,,,0,0
8 الی 18,,,0,0
شنبه الی چهارشنبه  08:30 الی 17:00 و پنجشنبه ها 08:30 الی 12:30,6,59,0,0
شنبه تا چهارشنبه از ساعت 9 تا 16,5,42,0,0
شنبه تا پنج شنبه,,,0,0
,,,0,0
شنبه تا چهارشنبه 8-17 ، پنج شنبه 8-13,,,0,0
شنبه تا چهارشنبه,,,0,0
20 روز کار 10 روز استراحت,,,0,0
دوشیفت 8 ساعته,,,0,0
10صبح تا 7 عصر,,,0,0
شنبه تا چهارشنبه (17:00 - 8:00),,,0,0
9/30 الی17/30,,,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا پنجشنبه 8 تا 16:30,6,59.5,0,0
شنبه تا چهارشنبه ساعت 9 تا 17,5,48,0,0
9الی 17,,,0,0
شنبه تا چهارشنبه 08:00 الی 17:00 پنج شنبه 08:00 الی 12:00,5,54,0,0
شنبه تا چهارشنبه 8-17,,,0,0
شنبه تا چهارشنبه از ساعت8:30 تا 17:00 پنچشنبه تا ساعت 14:00,5,51,0,0
شنبه تا چهارشنبه 7.30 الی 15.30 - پنج شنبه 7.30 الی 13.30,5,-107,0,0
شنبه تا پنج شنبه,,,0,0
8 الی 17,,,0,0
شنبه تا پنجشنبه از ساعت 8  الی 16/30 ( بنا به نیاز اضافه کاری هم دارد),6,56,0,0
8 تا 16:30,,,0,0
شنبه الی چهارشنبه ساعت 8 الی 17- پنجشنبه ها 8 الی 13,6,64,0,0
شنبه تا چهار شنبه 8:00 تا 16:50,1,8.833333333,0,0
6 روز در هفته,,,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه از ساعت 8 الی 17 / پنجشنبه ها تعطیل می باشد,6,63,0,0
شنبه تا پنجشنبه:8 الی 15 و 15 الی 22,6,49,0,0
شنبه تا چهارشنبه 8:30 الی 17:00 پنج شنبه ها 8:30 الی 13:00,5,51,0,0
شنبه تا چهارشنبه : 7 الی 15.40 پنج شنبه 7 الی 11,5,48,0,0
شنبه تا چهارشنبه 8:30 تا17:30,5,54,0,0
شنبه تا پنجشنبه 8:30 تا 18,6,66.5,0,0
9:30 الی 17:30,,,0,0
شنبه تا چهارشنبه 8 تا 18 - پنج شنبه 8 تا 13,5,65,0,0
دو روز در هفته، بعدازظهرها,,,0,0
7 تا 18,,,0,0
شنبه تا چهارشنبه 7:15 لغایت 16,,,0,0
شنبه تا چهارشنبه 9 الی 18,5,54,0,0
شنبه تا چهارشنبه 9 تا 17 پنج شنبه 9 تا 13,5,48,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه - 8 تا 17,,,0,0
ساعت کاری قابل مذاکره و توافقی است,,,0,0
شنبه تا پنج شنبه ساعت 11 تا 18,1,7,0,0
5,,,0,0
شنبه تا سه شنبه از 8 تا 17 -چهارشنبه 8 تا 16,5,61,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه 9 الی 17 و پنجشنبه ها 9 الی 13,6,56,0,0
شنبه تا چهارشنبه 8 الی 18 - پنج شنبه 8 الی 15  (با احتساب اضافه کار),5,67,0,0
شنبه تا  پنج شنبه شیفت صبح یا شیفت عصر,,,0,0
شنبه تا چهارشنبه  07:45 تا  16:30  و پنج شنبه ها اضافه کاری تا ساعت 14:00,5,52.5,0,0
شنبه تا چهارشنبه  8:00 - 17:00,,,0,0
شنبه تا چهارشنبه 9 تا 17 پنج شنبه ها 9 تا 14,5,48,0,0
8 صبح تا 17 عصر,,,0,0
شنبه تا چهارشنبه  7:30 - 16:30,,,0,0
شنبه تا چهارشنبه ساعت 8:30 لغایت 16:30,,,0,0
شنبه تاچهارشنبه  8:30 الی 17:00 پنج شنبه ها 8:30 :    الی 12:30,5,51,0,0
شنبه تا چهارشنبه ساعت 8:30 الی 17:30 -پنج شنبه 8:30 الی 13:30,5,59,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 17 - 8:30 و پنجشنبه 12:30 - 8:30,,,0,0
شنبه تا پنجشنبه,,,0,0
5 روز/ از 9صبح الی 5 عصر شنبه تا چهارشنبه,,,0,0
شنبه تا پنج شنبه ساعت 8 تا 20,1,12,0,0
شنبه تا چهارشنبه از ساعت 07:30 لغایت 17:00,,,0,0
شنبه تا چهارشنبه 8:30 تا 17:30 و پنجشنبه 8:30 تا 12:30,6,62,0,0
شنبه تا پنج شنبه ساعت 7:00 تا 16:30,1,9.5,0,0
شنبه تا چهارشنبه 9 تا 18 پنجشنبه 9 تا 14,6,63,0,0
شنبه تا چهارشنبه 8 الی 17و پنجشنبه 8 الی12,6,63,0,0
9 صبح الی 17,,,0,0
شنبه تا پنج شنبه - پنج شنبه تا ظهر,,,0,0
شنبه تا چهارشنبه از 9 الی 17 و پنجشنبه از 8:30 الی 12:30,6,56,0,0
شنبه تا چهارشنبه 8 الی 16:15  پنج شنبه 8 الی 13:15,5,49.5,0,0
شنبه تا پنج شنبه 8 الی 17 پنج شنبه ها یک هفته در میان,1,9,0,0
شنبه تا پنجشنبه 7 صبح الی 15:45,,,0,0
شنبه تا چهارشنبه 8 تا 17 پنج شنبه 8 الی13,5,54,0,0
پاره وقت,,,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
از شنبه تا چهارشنبه تمام وقت از ساعت 9الی17پنجشنبه پاره وقت :از 9الی13,6,56,0,0
شنبه تا چهارشنبه ساعت 9:30 الی 17:30 و پنجشنبه ها 9:30 الی 13:30,6,56,0,0
شنبه الی سه شنبه 8 الی 17- چهارشنبه 8 الی 16,5,61,0,0
شنبه تا پنج شنبه 7تا 15:45,1,8.75,0,0
