iter	MultiClass
0	1.337325077
1	1.299744803
2	1.267273128
3	1.239204308
4	1.213886096
5	1.188711907
6	1.169186589
7	1.152469815
8	1.137192406
9	1.121854681
10	1.110531539
11	1.099127135
12	1.087176938
13	1.074247788
14	1.066258682
15	1.059145706
16	1.052029847
17	1.043361168
18	1.035272628
19	1.028721254
20	1.0207509
21	1.011789213
22	1.004829271
23	1.000314349
24	0.9963442973
25	0.9895262972
26	0.9839277763
27	0.9802296579
28	0.9760625187
29	0.972786568
30	0.968563653
31	0.9633541413
32	0.9602689492
33	0.9574249547
34	0.9531027234
35	0.9510213734
36	0.9434714514
37	0.9391576853
38	0.9361833967
39	0.9348229408
40	0.9318633894
41	0.9288244158
42	0.9253660712
43	0.9223614381
44	0.9187685467
45	0.9151884155
46	0.9118696567
47	0.9090444185
48	0.9080571016
49	0.904711993
50	0.9030556423
51	0.9013557875
52	0.8998488731
53	0.8978068908
54	0.8955300687
55	0.8932598972
56	0.8907359792
57	0.8887696506
58	0.886984551
59	0.8856257765
60	0.8840701328
61	0.8823578461
62	0.8796787992
63	0.8774146978
64	0.8745511486
65	0.8732674495
66	0.8708887373
67	0.8704569261
68	0.8686608718
69	0.8676018787
70	0.8653744038
71	0.8626872465
72	0.8611058965
73	0.859704631
74	0.8574580653
75	0.8556508234
76	0.8538442342
77	0.852841359
78	0.8504705801
79	0.8467493922
80	0.8449861114
81	0.8427950507
82	0.8410960759
83	0.8395534879
84	0.8364116096
85	0.8353407852
86	0.8324800381
87	0.8309348297
88	0.8296847058
89	0.8266449128
90	0.8246749099
91	0.8238338633
92	0.8226608396
93	0.8203157105
94	0.8189854188
95	0.8174876436
96	0.8158526495
97	0.8151366824
98	0.8134680177
99	0.8124321438
100	0.8102465196
101	0.8083628472
102	0.8062120141
103	0.8045578084
104	0.8027271847
105	0.800889865
106	0.7991852605
107	0.7983952191
108	0.7965267874
109	0.79555074
110	0.793820098
111	0.7920208724
112	0.7908965134
113	0.789534673
114	0.7886369413
115	0.7878473017
116	0.7862391685
117	0.7843728008
118	0.783517183
119	0.781884499
120	0.7808623251
121	0.7797398618
122	0.7785669043
123	0.7776889613
