iter	Passed	Remaining
0	156	62310
1	176	35031
2	197	26198
3	217	21514
4	240	19007
5	260	17090
6	277	15573
7	295	14503
8	313	13627
9	332	12983
10	351	12425
11	370	11975
12	389	11584
13	407	11236
14	425	10933
15	443	10645
16	461	10390
17	479	10179
18	498	9999
19	517	9832
20	535	9663
21	553	9513
22	573	9397
23	591	9272
24	610	9162
25	629	9051
26	647	8944
27	666	8851
28	683	8745
29	700	8643
30	719	8560
31	736	8468
32	753	8382
33	769	8282
34	787	8209
35	803	8128
36	824	8091
37	843	8039
38	861	7977
39	880	7923
40	897	7859
41	915	7807
42	933	7750
43	951	7695
44	969	7651
45	987	7600
46	1004	7547
47	1022	7501
48	1038	7440
49	1057	7399
50	1075	7356
51	1092	7311
52	1109	7260
53	1125	7214
54	1144	7178
55	1161	7132
56	1178	7093
57	1198	7066
58	1216	7028
59	1231	6978
60	1248	6936
61	1265	6896
62	1283	6867
63	1301	6831
64	1321	6809
65	1339	6777
66	1358	6750
67	1374	6712
68	1392	6679
69	1409	6643
70	1427	6613
71	1445	6584
72	1462	6552
73	1478	6514
74	1494	6477
75	1512	6447
76	1530	6421
77	1548	6391
78	1564	6358
79	1582	6331
80	1601	6306
81	1619	6280
82	1636	6251
83	1654	6224
84	1673	6200
85	1689	6168
86	1706	6140
87	1724	6114
88	1741	6086
89	1759	6060
90	1775	6029
91	1791	5999
92	1809	5973
93	1825	5942
94	1841	5912
95	1858	5885
96	1874	5855
97	1889	5821
98	1906	5795
99	1923	5769
100	1939	5742
101	1958	5721
102	1976	5698
103	1993	5674
104	2010	5649
105	2027	5624
106	2046	5602
107	2062	5576
108	2080	5553
109	2096	5526
110	2113	5503
111	2131	5480
112	2147	5454
113	2165	5433
114	2184	5414
115	2201	5389
116	2219	5368
117	2236	5345
118	2253	5321
119	2270	5298
120	2290	5281
121	2307	5258
122	2323	5233
123	2340	5209
124	2356	5184
125	2372	5159
126	2388	5134
127	2405	5112
128	2423	5090
129	2442	5073
130	2460	5051
131	2477	5030
132	2494	5007
133	2512	4988
134	2530	4966
135	2546	4942
136	2561	4917
137	2577	4894
138	2594	4872
139	2611	4849
140	2628	4828
141	2646	4808
142	2663	4787
143	2681	4767
144	2698	4745
145	2715	4723
146	2731	4701
147	2749	4681
148	2767	4661
149	2784	4640
150	2801	4619
151	2819	4600
152	2836	4579
153	2852	4556
154	2869	4535
155	2887	4515
156	2906	4498
157	2925	4480
158	2941	4458
159	2958	4437
160	2975	4416
161	2992	4397
162	3011	4378
163	3029	4359
164	3047	4340
165	3066	4322
166	3083	4302
